lambda_micron,f_nu_mJy_z0.05_m10.0,f_nu_mJy_z0.05_m10.5,f_nu_mJy_z0.05_m11.0,f_nu_mJy_z0.1_m10.0,f_nu_mJy_z0.1_m10.5,f_nu_mJy_z0.1_m11.0,f_nu_mJy_z0.15_m10.0,f_nu_mJy_z0.15_m10.5,f_nu_mJy_z0.15_m11.0,f_nu_mJy_z0.2_m10.0,f_nu_mJy_z0.2_m10.5,f_nu_mJy_z0.2_m11.0
0.9584584584584585,1.462836152292882,4.845975208685623,10.391107429257826,0.4450056232229348,1.0735886029756547,2.3927729548583967,0.30795178093066433,0.4802872864219252,0.9226641603394282,0.31245760282801294,0.38454960878480143,0.4781091463392019
0.9627127127127127,1.407568314283235,4.892899469483476,10.966013682836987,0.43776044148332094,1.082672889379929,2.5094183195925686,0.30950454992070675,0.4860890516726064,0.9218051646329355,0.31220712691307,0.3878039100359796,0.48762910644678814
0.9669669669669669,1.4438371043167006,4.803454190059741,10.375748787119047,0.4500711371315617,1.11639149833645,2.5622867149238386,0.31445328326337063,0.4890821466613615,0.9298416274711132,0.31432675532928217,0.3918069350834806,0.5024864386506644
0.9712212212212212,1.4140425475165253,4.592547787982733,10.662638289385644,0.45868087022751935,1.1114265613125291,2.5757884080633797,0.30911727702846303,0.48219341132020876,0.9174364210957209,0.3173679035851645,0.3894305377030518,0.48947567026273514
0.9754754754754755,1.463430856444825,4.756420354921277,10.586259616825616,0.4456553313648056,1.0895040663907376,2.576299999093974,0.3108114328129679,0.48568901030701306,0.9291014212483037,0.31836087055351836,0.4000584116520932,0.5014962996180958
0.9797297297297297,1.4701073836046175,4.799778449318842,11.191696489014376,0.44919408433778296,1.1102796226667901,2.553636907284983,0.3069741275176643,0.4826034187534848,0.9048372805550462,0.3153430923225088,0.40365955405419596,0.5049438991833819
0.983983983983984,1.4778464035386971,4.80505301459023,11.394675279854333,0.4620815447297564,1.1141446757945477,2.589007458838598,0.3174413845886699,0.4302173264674529,0.89985644115639,0.3172437859349907,0.40026503008784053,0.5138426501175294
0.9882382382382382,1.4837988927075614,4.876595217991391,11.42972043196141,0.4528497676078406,1.1258342530273406,2.608822485201478,0.3162634292132521,0.49996691192488285,0.9486330543997092,0.3228760796864394,0.4029960789824448,0.49652164918487984
0.9924924924924925,1.484074086683814,4.893695846568825,11.587377117083559,0.4442389596021838,1.0945854774527812,2.6076426220707978,0.32048771839194085,0.5073968222800839,0.9690247900930881,0.31892386598168515,0.4124924673090765,0.5352797646536291
0.9967467467467468,1.508718132336774,4.956659218891611,11.73046766819392,0.4774217647832587,1.1786001892866795,2.7283585023925685,0.31789852225374515,0.4532955561250301,0.8959338194249247,0.32146420486904315,0.4003393405965937,0.49991833925914597
